Kornica-Popówka*,E,8 754,7 794,101,łosicki
Koszelówka I*,E,313,-,16,łosicki
Koszelówka II*,E,345,-,9,łosicki
Rudka*,Z,6,-,-,łosicki
Rudka II*,E,200,-,3,łosicki
Rudka III*,R,597,-,-,łosicki
Sewerynów*,T,246,-,-,łosicki
Sewerynów 1*,E,642,-,19,łosicki
Zienie*,Z,14,-,-,łosicki
Barżykowo,Z,3,-,-,kolneński
Barżykowo I,Z,9,-,-,kolneński
Barżykowo II,Z,193,-,-,kolneński
Berżniki,P,933,-,-,sejneński
Dubowo,P,3 273,-,-,sejneński
Mielnik*,E,2 516,2 516,52,siemiatycki
Rajgród,Z,322,-,-,grajewski
Bobowo,Z,120,-,-,starogardzki
Darżyno,Z,186,-,-,słupski
Góra IV,Z,74,-,-,wejherowski
Grabówko,Z,720,-,-,"bytowski, słupski"
Jeziernik,Z,597,-,-,"człuchowski, szczecinecki"
Kalwa*,Z,143,-,-,sztumski
Kniewo,Z,262,-,-,wejherowski
Kochanka,Z,2 029,-,-,starogardzki
Konarzyny,Z,1 021,-,-,kościerski
Konarzyny II,Z,143,-,-,kościerski
Łubiana I,R,46,-,-,kościerski
Nowa Cerkiew III,Z,12,-,-,tczewski
Orle-Wejherowo,Z,16 030,-,-,wejherowski
Orle-Wejherowo II,Z,17,-,-,wejherowski
Osieczna,P,3 064,-,-,starogardzki
Pawłówko,R,1 225,-,-,człuchowski
Pawłówko II,Z,76,-,-,człuchowski
Perlino,Z,19,-,-,wejherowski
Polnica-C,R,265,-,-,człuchowski
Postolin-Cygusy,Z,1 030,-,-,sztumski
Roszczyce,Z,6 085,-,-,lęborski
Roszczyce II,E,633,633,2,lęborski
Różyny,Z,24,-,-,gdański
Różyny III,R,31,-,-,gdański
Skowarcz-Pszczółki,P,1 915,-,-,gdański
Sulęczyno,Z,760,-,-,kartuski
Wieliszewo,R,816,-,-,słupski
Wieliszewo I,R,44,-,-,słupski
Zapceń - pole A,Z,2 640,-,-,bytowski
